ID,"Assembly ID","Part Name","Part Description",Quantity,Supplier,"Part Number"
,P8,"20 pin IDC header","a receptacle for idc headers",1,Mouser,"649-75869-104LF  "
,"P11 P12","6 pin IDC header","a 2 row, 6 pin, polarized IDC header",2,Mouser,649-75869-131LF
,"R1 R23-R25 R82 R83","180 ohm resistor .1W 5% 0805",,6,Mouser,260-180-RC
,"R2 R5 R8 R10 R11 R13 R18 R26 R28 R31 R32 R34 R47 R48 R50 R63 R64 R66 R68 R69 R78-R81 R84-R86 R89 R94 R95 R98 R126 R127 R129 R147 R148 R150 R165 R168 R169","1k ohm resistor 0.1W 5% 0805",,40,Mouser,260-1.0K-RC
,R3,"30 ohm resistor 5W 5% WW TH","a 5W wirewound resistor",1,Digikey,30W-5-ND
,"R4 R9 R27 R52 R53 R77 R90 R91 R92 R99-R101","4.7k ohm resistor 0.1W 5% 0805",,12,Mouser,260-4.7K-RC
,"R6 R7 R12 R15 R16 R17 R19 R36 R37 R76 R87 R88 R97 R105","10k ohm resistor 0.1W 5% 0805",,14,Mouser,260-10K-RC
,R14,"3.3k ohm resistor  0.1W 5% 0805",,1,Mouser,260-3.3K-RC
,R20-R22,"330 ohm resistor .1W 5% 0805",,3,Mouser,260-330-RC
,"R29 R30 R45 R46 R61 R62 R124 R125 R145 R146","0.25 ohm resistor 2W 1% 2512","a surface mount resistor",10,Mouser,66-LR2512LF-01-R250
,"R33 R38-R40 R49 R54-R56 R65 R70-R72 R106-R123 R128 R131-R133 R137-R142 R149 R152-R154 R158-R163 ","12k ohm resistor  0.1W 5% 0805",,50,Mouser,260-12K-RC
,"R44 R60 R104 R143 R144 R166 R167","0 ohm resistor 0.125W 0805","0 ohm resistor, 1/8 W., 0805",7,Mouser,71-CRCW08050000ZSTB
,"Q1-Q5 Q7-Q9","PH7030L N-Channel MOSFET 30V","N-Channel MOSFET with logic level gate and .008 RDSon, 30V",8,Mouser,771-PH7030L-T/R
,"X8 X10-X12 X15-X20","Terminal Block 3.5mm Pluggable 2 position",,10,Mouser,651-1984015
,"X8 X10-X12 X15-X20","Terminal Block Header 3.5mm 2 position",,10,Mouser,651-1945096
,SW1,"DIP switch 1 position thru-hole","DIP switch 1 position thru-hole extended actuator",1,Mouser,611-BD01
